Region,Counter Strike: (2006),Fortnite: (2006),Dota 2: (2006),League of Legends: (2006),PUBG: (2006),Counter Strike: (2007),Fortnite: (2007),Dota 2: (2007),League of Legends: (2007),PUBG: (2007),Counter Strike: (2008),Fortnite: (2008),Dota 2: (2008),League of Legends: (2008),PUBG: (2008),Counter Strike: (2009),Fortnite: (2009),Dota 2: (2009),League of Legends: (2009),PUBG: (2009),Counter Strike: (2010),Fortnite: (2010),Dota 2: (2010),League of Legends: (2010),PUBG: (2010),Counter Strike: (2011),Fortnite: (2011),Dota 2: (2011),League of Legends: (2011),PUBG: (2011),Counter Strike: (2012),Fortnite: (2012),Dota 2: (2012),League of Legends: (2012),PUBG: (2012),Counter Strike: (2013),Fortnite: (2013),Dota 2: (2013),League of Legends: (2013),PUBG: (2013),Counter Strike: (2014),Fortnite: (2014),Dota 2: (2014),League of Legends: (2014),PUBG: (2014),Counter Strike: (2015),Fortnite: (2015),Dota 2: (2015),League of Legends: (2015),PUBG: (2015),Counter Strike: (2016),Fortnite: (2016),Dota 2: (2016),League of Legends: (2016),PUBG: (2016),Counter Strike: (2017),Fortnite: (2017),Dota 2: (2017),League of Legends: (2017),PUBG: (2017),Counter Strike: (2018),Fortnite: (2018),Dota 2: (2018),League of Legends: (2018),PUBG: (2018),Counter Strike: (2019),Fortnite: (2019),Dota 2: (2019),League of Legends: (2019),PUBG: (2019),Counter Strike: (2020),Fortnite: (2020),Dota 2: (2020),League of Legends: (2020),PUBG: (2020),Counter Strike: (2021),Fortnite: (2021),Dota 2: (2021),League of Legends: (2021),PUBG: (2021)
Texas,100,0,0,0,0,100,0,0,1,0,99,0,1,1,0,76,0,1,24,1,23,0,2,75,0,10,1,7,83,0,8,1,17,75,0,4,1,23,73,0,5,1,23,72,1,6,1,23,71,0,6,1,22,72,0,3,28,10,34,25,1,89,1,3,8,1,90,1,4,5,1,89,1,6,4,1,88,1,6,5
Arizona,99,0,1,0,0,100,0,0,0,0,99,0,1,0,0,79,0,1,20,0,17,0,2,81,0,8,0,8,84,0,7,1,17,76,0,4,1,23,73,0,4,1,24,72,0,6,1,23,71,0,6,1,23,71,0,2,30,8,35,25,1,89,1,2,8,1,89,1,5,5,1,89,1,6,4,1,87,1,8,4
Massachusetts,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,80,0,0,20,0,27,0,1,72,0,10,1,9,81,0,9,1,21,70,0,4,1,25,71,0,6,1,29,65,0,6,1,29,65,0,4,1,28,68,0,2,24,15,33,26,1,89,1,3,7,1,88,2,6,4,1,87,1,8,4,1,86,2,9,3
West Virginia,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,72,0,0,28,0,17,0,5,78,0,10,0,10,80,0,6,0,24,70,0,4,1,25,71,0,6,1,25,69,0,9,0,20,71,0,7,0,22,71,0,1,33,7,29,30,1,89,1,2,9,1,92,1,3,5,1,91,1,4,4,1,92,1,4,3
Minnesota,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,66,0,0,34,0,15,0,1,84,0,7,1,8,85,0,7,1,17,76,0,2,1,23,75,0,3,1,25,72,0,5,1,25,70,1,5,1,22,73,0,2,28,10,35,25,1,89,1,3,7,1,90,1,5,4,1,88,1,7,4,1,87,2,8,3
Indiana,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,75,0,5,20,0,16,0,1,83,0,8,0,8,84,0,7,0,18,75,0,4,1,22,74,0,4,1,26,70,0,7,1,26,67,0,5,1,21,74,0,2,35,8,28,27,1,89,1,2,8,1,91,1,4,4,1,91,1,5,3,1,90,1,5,4
Colorado,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,78,0,0,22,0,17,0,3,80,0,8,0,8,84,0,7,1,17,76,0,5,1,24,71,0,4,1,25,71,1,6,1,25,69,0,7,1,27,66,0,2,26,11,33,28,1,88,1,2,9,1,89,1,5,5,1,88,1,7,4,1,85,2,7,6
Nebraska,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,54,0,0,39,7,25,0,4,71,0,6,0,10,84,0,5,1,18,77,0,3,1,23,74,0,5,1,32,63,0,7,1,26,67,0,5,0,23,72,0,2,35,10,27,26,1,91,1,2,7,1,92,1,3,4,1,90,1,6,3,1,90,2,5,3
Louisiana,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,0,0,17,0,21,0,3,76,0,10,0,7,83,1,8,1,16,76,0,3,0,21,76,0,4,0,22,74,0,5,1,17,78,0,6,1,17,77,0,3,29,8,36,24,1,90,1,2,8,1,91,1,4,5,1,91,1,5,3,1,90,1,6,3
Maryland,100,0,0,0,0,96,0,4,0,0,100,0,0,0,0,80,0,2,18,0,24,0,1,75,0,8,1,9,83,0,8,1,20,72,0,3,1,26,71,0,5,1,27,68,0,6,1,28,66,0,6,1,25,69,0,2,27,12,32,27,1,89,1,3,7,1,89,1,5,5,1,88,1,7,4,1,88,1,8,3
